HARGA;LT;LB;JKT;JKM;Kota;
1800000000;140;90;3;2;Bandung;
9500000000;391;500;6;2;Bandung;
2500000000;200;150;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1100000000;97;90;4;1;Bandung;
23000000000;1012;500;6;4;Bandung;
1500000000;74;100;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1150000000;127;128;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
4750000000;405;700;4;5;Bandung;
800000000;41;35;2;1;Bandung;
1950000000;102;130;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
4000000000;202;360;3;2;Bandung;
4000000000;202;360;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1600000000;150;90;3;2;Bandung;
1980000000;153;125;2;2;Bandung;
1700000000;70;116;3;2;Bandung;
21000000000;500;964;2;2;Bandung;
4500000000;404;300;5;3;Bandung;
1400000000;170;350;6;4;Bandung;
3250000000;184;300;3;3;Bandung;
2200000000;87;150;5;4;Bandung;
2300000000;137;170;3;2;Bandung;
3900000000;124;200;0;0;Bandung;
875000000;78;45;2;1;Bandung;
10500000000;660;200;9;3;Bandung;
1700000000;126;98;3;2;Bandung;
2300000000;102;94;3;2;Bandung;
900000000;75;100;3;1;Bandung;
11000000000;891;500;7;4;Bandung;
5000000000;142;160;5;3;Bandung;
1500000000;35;70;1;1;Bandung;
1350000000;137;160;2;2;Bandung;
2750000000;346;220;3;2;Bandung;
4000000000;228;400;6;5;Bandung;
8250000000;760;970;9;3;Bandung;
1600000000;193;180;8;3;Bandung;
1150000000;49;72;3;2;Bandung;
775000000;84;84;6;6;Bandung;
6250000000;625;457;4;3;Bandung;
1100000000;110;126;3;2;Bandung;
1650000000;161;200;6;3;Bandung;
2200000000;140;160;3;2;Bandung;
1900000000;161;200;6;3;Bandung;
1750000000;170;350;5;4;Bandung;
3500000000;348;200;3;2;Bandung;
1800000000;89;145;4;2;Bandung;
3900000000;270;450;2;3;Bandung;
2000000000;158;150;2;3;Bandung;
5400000000;394;400;4;3;Bandung;
3100000000;350;258;4;1;Bandung;
18500000000;1016;1500;12;6;Bandung;
657000000;160;140;3;2;Bandung;
3900000000;270;450;2;3;Bandung;
5800000000;400;400;4;3;Bandung;
1240000000;216;273;2;2;Bandung;
3750000000;202;300;4;3;Bandung;
1500000000;275;300;3;2;Bandung;
1500000000;110;200;3;2;Bandung;
2500000000;205;205;3;2;Bandung;
300000000;140;100;4;3;Bandung;
5750000000;780;400;4;3;Bandung;
1990000000;104;125;12;3;Bandung;
1990000000;104;125;4;3;Bandung;
2500000000;180;110;3;2;Bandung;
1350000000;180;160;6;3;Bandung;
2250000000;180;200;4;3;Bandung;
2500000000;200;150;3;2;Bandung;
2300000000;137;170;3;2;Bandung;
1100000000;129;98;3;2;Bandung;
13700000000;470;900;6;10;Bandung;
1300000000;137;160;2;2;Bandung;
7900000000;500;574;5;4;Bandung;
1800000000;70;116;3;2;Bandung;
890000000;40;39;2;1;Bandung;
7900000000;500;574;5;4;Bandung;
1200000000;126;98;3;2;Bandung;
890000000;78;45;2;1;Bandung;
850000000;100;40;2;1;Bandung;
3300000000;350;258;5;2;Bandung;
3800000000;219;200;4;2;Bandung;
5500000000;400;420;4;3;Bandung;
4000000000;184;234;5;3;Bandung;
5000000000;107;100;3;2;Bandung;
5000000000;107;100;3;2;Bandung;
4500000000;404;250;4;2;Bandung;
550000000;140;140;2;1;Bandung;
550000000;140;140;2;1;Bandung;
3100000000;274;18;3;1;Bandung;
1450000000;98;87;3;2;Bandung;
512000000;120;80;4;2;Bandung;
700000000;138;138;7;2;Bandung;
2900000000;183;300;3;3;Bandung;
1100000000;97;90;4;1;Bandung;
2500000000;210;150;3;3;Bandung;
3950000000;184;234;5;3;Bandung;
1620000000;156;120;4;3;Bandung;
648000000;96;96;2;1;Bandung;
1100000000;97;90;4;1;Bandung;
375000000;75;55;1;1;Bandung;
700000000;138;138;7;2;Bandung;
19000000000;1016;1600;13;8;Bandung;
4000000000;184;234;5;3;Bandung;
3390000000;150;200;4;3;Bandung;
2100000000;189;140;5;2;Bandung;
10500000000;660;200;9;3;Bandung;
1500000000;268;165;4;2;Bandung;
1600000000;70;116;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
1600000000;70;116;3;2;Bandung;
53900000000;2750;1500;2;2;Bandung;
5000000000;300;200;3;2;Bandung;
1600000000;89;145;4;2;Bandung;
1700000000;126;98;3;2;Bandung;
6000000000;745;168;8;4;Bandung;
2000000000;158;150;2;3;Bandung;
1370000000;72;100;4;2;Bandung;
5600000000;364;500;7;4;Bandung;
5600000000;364;500;7;4;Bandung;
1600000000;89;145;4;2;Bandung;
550000000;103;96;3;2;Bandung;
5500000000;392;260;5;4;Bandung;
950000000;72;90;0;0;Bandung;
3600000000;127;250;4;4;Bandung;
3900000000;120;120;3;1;Bandung;
1400000000;137;160;2;2;Bandung;
950000000;72;120;3;2;Bandung;
400000000;370;240;3;2;Bandung;
8000000000;399;304;3;2;Bandung;
3300000000;350;258;5;2;Bandung;
5500000000;400;260;5;4;Bandung;
3250000000;184;300;2;3;Bandung;
5500000000;392;260;5;4;Bandung;
3300000000;350;258;5;2;Bandung;
1800000000;140;90;3;2;Bandung;
1250000000;238;150;0;0;Bandung;
3200000000;346;220;3;2;Bandung;
9000000000;389;350;6;2;Bandung;
950000000;72;65;2;2;Bandung;
950000000;72;65;2;2;Bandung;
550000000;122;70;3;1;Bandung;
3600000000;243;330;11;10;Bandung;
1200000000;120;110;3;2;Bandung;
1500000000;110;150;4;2;Bandung;
1700000000;90;180;4;3;Bandung;
450000000;74;70;2;1;Bandung;
450000000;74;70;2;1;Bandung;
1400000000;139;105;2;2;Bandung;
1300000000;137;160;2;2;Bandung;
1650000000;136;200;3;3;Bandung;
1650000000;136;200;3;3;Bandung;
3500000000;202;400;2;2;Bandung;
4250000000;404;300;5;3;Bandung;
1900000000;168;130;4;3;Bandung;
1600000000;111;200;4;3;Bandung;
950000000;72;65;1;2;Bandung;
1330000000;61;90;4;2;Bandung;
